,index,lag,prob
779,32,6,0.0
780,33,7,0.0
781,34,8,0.0
782,18,-8,0.04
783,19,-7,0.0
784,20,-6,0.0
785,21,-5,0.03571428571428571
786,22,-4,0.041666666666666664
787,23,-3,0.10606060606060606
788,24,-2,0.10843373493975904
789,25,-1,0.4
790,26,0,
791,27,1,0.2962962962962963
792,28,2,0.21518987341772153
793,29,3,0.057971014492753624
794,30,4,0.0
795,31,5,0.03225806451612903
796,32,6,0.0
797,33,7,0.05
798,34,8,0.0
799,18,-8,0.0
800,19,-7,0.0
801,20,-6,0.08
802,21,-5,0.0
803,22,-4,0.0
804,23,-3,0.058823529411764705
805,24,-2,0.12941176470588237
806,25,-1,0.27586206896551724
807,26,0,
808,27,1,0.38202247191011235
809,28,2,0.10975609756097561
810,29,3,0.13846153846153847
811,30,4,0.03571428571428571
812,31,5,0.04
813,32,6,0.0
814,33,7,0.18181818181818182
815,34,8,0.0
816,18,-8,0.0
817,19,-7,0.03333333333333333
818,20,-6,0.06060606060606061
819,21,-5,0.020833333333333332
820,22,-4,0.0784313725490196
821,23,-3,0.04054054054054054
822,24,-2,0.11494252873563218
823,25,-1,0.3617021276595745
824,26,0,
825,27,1,0.47191011235955055
826,28,2,0.125
827,29,3,0.047619047619047616
828,30,4,0.017543859649122806
829,31,5,0.02564102564102564
830,32,6,0.030303030303030304
831,33,7,0.0
832,34,8,0.0
833,18,-8,0.0
834,19,-7,0.0
835,20,-6,0.058823529411764705
836,21,-5,0.0
837,22,-4,0.0
838,23,-3,0.09523809523809523
839,24,-2,0.14893617021276595
840,25,-1,0.16326530612244897
841,26,0,
842,27,1,0.54
843,28,2,0.045454545454545456
844,29,3,0.07142857142857142
845,30,4,0.05555555555555555
846,31,5,0.0
847,32,6,0.06666666666666667
848,33,7,0.08333333333333333
849,34,8,0.16666666666666666
850,18,-8,0.0
851,19,-7,0.0
852,20,-6,0.0
853,21,-5,0.058823529411764705
854,22,-4,0.08333333333333333
855,23,-3,0.02040816326530612
856,24,-2,0.05357142857142857
857,25,-1,0.18461538461538463
858,26,0,
859,27,1,0.3787878787878788
860,28,2,0.1896551724137931
861,29,3,0.15555555555555556
862,30,4,0.025
863,31,5,0.034482758620689655
864,32,6,0.0
865,33,7,0.0
866,34,8,0.0
867,18,-8,0.0
868,19,-7,0.0
869,20,-6,0.0
870,21,-5,0.041666666666666664
871,22,-4,0.05714285714285714
872,23,-3,0.07142857142857142
873,24,-2,0.11764705882352941
874,25,-1,0.21428571428571427
875,26,0,
876,27,1,0.3508771929824561
877,28,2,0.25
878,29,3,0.06818181818181818
879,30,4,0.09090909090909091
880,31,5,0.0
881,32,6,0.0
882,33,7,0.0
883,34,8,0.0
884,18,-8,0.0
885,19,-7,0.037037037037037035
886,20,-6,0.0
887,21,-5,0.08571428571428572
888,22,-4,0.058823529411764705
889,23,-3,0.06349206349206349
890,24,-2,0.1232876712328767
891,25,-1,0.2222222222222222
892,26,0,
893,27,1,0.37349397590361444
894,28,2,0.18072289156626506
895,29,3,0.04477611940298507
896,30,4,0.031746031746031744
897,31,5,0.023255813953488372
898,32,6,0.06896551724137931
899,33,7,0.0
900,34,8,0.0
901,18,-8,0.25
902,19,-7,0.0
903,20,-6,0.0
904,21,-5,0.16666666666666666
905,22,-4,0.07142857142857142
906,23,-3,0.047619047619047616
907,24,-2,0.08333333333333333
908,25,-1,0.037037037037037035
909,26,0,
910,27,1,0.25925925925925924
911,28,2,0.391304347826087
912,29,3,0.043478260869565216
913,30,4,0.07142857142857142
914,31,5,0.0
915,32,6,0.0
916,33,7,0.14285714285714285
917,34,8,0.0
918,18,-8,0.0
919,19,-7,0.0
920,20,-6,0.037037037037037035
921,21,-5,0.0
922,22,-4,0.07407407407407407
923,23,-3,0.17333333333333334
924,24,-2,0.08235294117647059
925,25,-1,0.2222222222222222
926,26,0,
927,27,1,0.36904761904761907
928,28,2,0.11392405063291139
929,29,3,0.12903225806451613
930,30,4,0.038461538461538464
931,31,5,0.02631578947368421
932,32,6,0.0
933,33,7,0.0
934,34,8,0.0
935,18,-8,0.0
936,19,-7,0.04
937,20,-6,0.0
938,21,-5,0.0
939,22,-4,0.07317073170731707
940,23,-3,0.09090909090909091
941,24,-2,0.15151515151515152
942,25,-1,0.34615384615384615
943,26,0,
944,27,1,0.3698630136986301
945,28,2,0.09210526315789473
946,29,3,0.08571428571428572
947,30,4,0.041666666666666664
948,31,5,0.02702702702702703
949,32,6,0.0
950,33,7,0.0
951,34,8,0.0
952,18,-8,0.0
953,19,-7,0.038461538461538464
954,20,-6,0.02631578947368421
955,21,-5,0.02127659574468085
956,22,-4,0.04
957,23,-3,0.05405405405405406
958,24,-2,0.11842105263157894
959,25,-1,0.32941176470588235
960,26,0,
961,27,1,0.4146341463414634
962,28,2,0.13157894736842105
963,29,3,0.09230769230769231
964,30,4,0.038461538461538464
965,31,5,0.03333333333333333
966,32,6,0.0
967,33,7,0.0
968,34,8,0.0
969,18,-8,0.0
970,19,-7,0.0
971,20,-6,0.03225806451612903
972,21,-5,0.0
973,22,-4,0.023255813953488372
974,23,-3,0.01639344262295082
975,24,-2,0.06666666666666667
976,25,-1,0.2
977,26,0,
978,27,1,0.4927536231884058
979,28,2,0.14705882352941177
980,29,3,0.14285714285714285
981,30,4,0.020833333333333332
