,subject,level_1,prob,sem_bin_mean,sem_bin
2424,MTK00454,4,0.18888888888888888,0.09602724059539683,4
2425,MTK00454,5,0.1590909090909091,0.11476685213191169,5
2426,MTK00454,6,0.18681318681318682,0.139603911077275,6
2427,MTK00454,7,0.18181818181818182,0.16212996374815702,7
2428,MTK00454,8,0.12790697674418605,0.21092826669866388,8
2429,MTK00454,9,0.46987951807228917,0.2975807438294093,9
2430,MTK00455,0,0.16176470588235295,-0.007083278509195556,0
2431,MTK00455,1,0.15384615384615385,0.03350833635777235,1
2432,MTK00455,2,0.25,0.05660738120786846,2
2433,MTK00455,3,0.1323529411764706,0.08116963505744934,3
2434,MTK00455,4,0.14705882352941177,0.09533131495118141,4
2435,MTK00455,5,0.0945945945945946,0.11561828532389232,5
2436,MTK00455,6,0.2,0.14114948075551254,6
2437,MTK00455,7,0.2463768115942029,0.16828124049831839,7
2438,MTK00455,8,0.15,0.21154496901565129,8
2439,MTK00455,9,0.2727272727272727,0.31297381967306137,9
2440,MTK00456,0,0.19642857142857142,-0.0006829543589529666,0
2441,MTK00456,1,0.15384615384615385,0.03246577717363834,1
2442,MTK00456,2,0.2,0.05293118550131718,2
2443,MTK00456,3,0.1,0.0818294569849968,3
2444,MTK00456,4,0.09090909090909091,0.09547619397441547,4
2445,MTK00456,5,0.18,0.11281103889147441,5
2446,MTK00456,6,0.1568627450980392,0.1359682697802782,6
2447,MTK00456,7,0.12727272727272726,0.17063915303775243,7
2448,MTK00456,8,0.15254237288135594,0.2126177085770501,8
2449,MTK00456,9,0.42105263157894735,0.33861911421020824,9
2450,MTK00457,0,0.14084507042253522,-0.008590180077590048,0
2451,MTK00457,1,0.28,0.03461493232420513,1
2452,MTK00457,2,0.15,0.05828348360955715,2
2453,MTK00457,3,0.1111111111111111,0.07948988024145365,3
2454,MTK00457,4,0.1323529411764706,0.09507717688878377,4
2455,MTK00457,5,0.2727272727272727,0.11451438033864611,5
2456,MTK00457,6,0.18666666666666668,0.1366846753018243,6
2457,MTK00457,7,0.22580645161290322,0.1681365104658263,7
2458,MTK00457,8,0.21875,0.20697311631270818,8
2459,MTK00457,9,0.1746031746031746,0.32379173826087604,9
2460,MTK00458,0,0.22580645161290322,0.001091572089795331,0
2461,MTK00458,1,0.12121212121212122,0.03782636392861605,1
2462,MTK00458,2,0.20634920634920634,0.05595238650074372,2
2463,MTK00458,3,0.21212121212121213,0.07808850013784,3
2464,MTK00458,4,0.2033898305084746,0.09729981981217861,4
2465,MTK00458,5,0.08641975308641975,0.11584564298391342,5
2466,MTK00458,6,0.25,0.13793699722737074,6
2467,MTK00458,7,0.14705882352941177,0.16695345491170882,7
2468,MTK00458,8,0.11666666666666667,0.21220085237707412,8
2469,MTK00458,9,0.19672131147540983,0.291814719637235,9
2470,MTK00459,0,0.12280701754385964,-0.0220581899130983,0
2471,MTK00459,1,0.1864406779661017,0.03574241003529592,1
2472,MTK00459,2,0.13114754098360656,0.05824508471414447,2
2473,MTK00459,3,0.11666666666666667,0.07889883433069501,3
2474,MTK00459,4,0.20454545454545456,0.09491420123312208,4
2475,MTK00459,5,0.18181818181818182,0.12026493847370148,5
2476,MTK00459,6,0.21153846153846154,0.13805232535709033,6
2477,MTK00459,7,0.21311475409836064,0.1690274431155278,7
2478,MTK00459,8,0.1836734693877551,0.20169519715838963,8
2479,MTK00459,9,0.2558139534883721,0.3286673914302479,9
2480,MTK00460,0,0.136986301369863,0.002769472124055028,0
2481,MTK00460,1,0.13924050632911392,0.03675043244253506,1
2482,MTK00460,2,0.17647058823529413,0.05976472143083811,2
2483,MTK00460,3,0.1780821917808219,0.07450295010438332,3
2484,MTK00460,4,0.16883116883116883,0.09535283824572197,4
2485,MTK00460,5,0.22784810126582278,0.11404797434806824,5
2486,MTK00460,6,0.24675324675324675,0.13843101655182086,6
2487,MTK00460,7,0.18181818181818182,0.17100926807948522,7
2488,MTK00460,8,0.16216216216216217,0.20342079550027847,8
2489,MTK00460,9,0.28169014084507044,0.306753820925951,9
2490,MTK00461,0,0.1896551724137931,-0.004961976686238565,0
2491,MTK00461,1,0.14,0.030109339260629246,1
2492,MTK00461,2,0.10909090909090909,0.05767123339076837,2
2493,MTK00461,3,0.20689655172413793,0.07535854789117973,3
2494,MTK00461,4,0.22916666666666666,0.0962014685977589,4
2495,MTK00461,5,0.19672131147540983,0.11563952763875325,5
2496,MTK00461,6,0.14285714285714285,0.1386819247688566,6
2497,MTK00461,7,0.1111111111111111,0.15912472009658812,7
2498,MTK00461,8,0.11764705882352941,0.20015521347522736,8
2499,MTK00461,9,0.23255813953488372,0.3480250135064125,9
2500,MTK00462,0,0.2153846153846154,-0.0024745912607094006,0
2501,MTK00462,1,0.14705882352941177,0.032722842134535315,1
2502,MTK00462,2,0.2037037037037037,0.059261263432827865,2
2503,MTK00462,3,0.203125,0.07677162553255375,3
2504,MTK00462,4,0.1016949152542373,0.09573611120382945,4
2505,MTK00462,5,0.14705882352941177,0.11942794173955917,5
2506,MTK00462,6,0.21875,0.14161978236266545,6
2507,MTK00462,7,0.19672131147540983,0.16802498574058214,7
2508,MTK00462,8,0.15151515151515152,0.20544766783714294,8
2509,MTK00462,9,0.24489795918367346,0.38354606181383133,9
2510,MTK00463,0,0.1590909090909091,-0.0011951067884053504,0
2511,MTK00463,1,0.17073170731707318,0.029946512143526758,1
2512,MTK00463,2,0.15,0.05726884802182516,2
2513,MTK00463,3,0.11363636363636363,0.07746067345142364,3
2514,MTK00463,4,0.19148936170212766,0.09826674477921592,4
2515,MTK00463,5,0.125,0.11318145940701167,5
2516,MTK00463,6,0.1388888888888889,0.1321179211139679,6
2517,MTK00463,7,0.225,0.16725132366021475,7
2518,MTK00463,8,0.225,0.2058923343817393,8
2519,MTK00463,9,0.22448979591836735,0.3133892200209878,9
