,subject,spos_bins,repeats,session,recalled,adj_rec
315,R1531T,1.0,1.0,0,0.0,0.20296296296296293
316,R1531T,2.0,1.0,0,0.0,0.06524074074074074
317,R1531T,3.0,1.0,0,0.0,-0.06788888888888889
318,R1531T,4.0,1.0,0,0.0,-0.0770787037037037
319,R1531T,5.0,1.0,0,0.0,-0.13950925925925925
320,R1531T,6.0,1.0,0,0.0,-0.052421296296296285
321,R1531T,7.0,1.0,0,0.0,0.14794444444444443
322,R1531T,8.0,1.0,0,0.0,0.02754398148148149
323,R1531T,9.0,1.0,0,0.0,0.16355753968253967
324,R1531T,1.0,1.0,1,0.0,0.20296296296296293
325,R1531T,2.0,1.0,1,0.08333333333333333,0.14857407407407408
326,R1531T,3.0,1.0,1,0.25,0.1821111111111111
327,R1531T,4.0,1.0,1,0.3333333333333333,0.25625462962962964
328,R1531T,5.0,1.0,1,0.4444444444444444,0.30493518518518514
329,R1531T,6.0,1.0,1,0.3333333333333333,0.28091203703703704
330,R1531T,7.0,1.0,1,0.0,0.14794444444444443
331,R1531T,8.0,1.0,1,0.4375,0.4650439814814815
332,R1531T,9.0,1.0,1,0.625,0.7885575396825397
333,R1531T,1.0,,2,,
334,R1531T,2.0,,2,,
335,R1531T,3.0,,2,,
336,R1531T,4.0,,2,,
337,R1531T,5.0,,2,,
338,R1531T,6.0,,2,,
339,R1531T,7.0,,2,,
340,R1531T,8.0,,2,,
341,R1531T,9.0,,2,,
342,R1531T,1.0,,3,,
343,R1531T,2.0,,3,,
344,R1531T,3.0,,3,,
345,R1531T,4.0,,3,,
346,R1531T,5.0,,3,,
347,R1531T,6.0,,3,,
348,R1531T,7.0,,3,,
349,R1531T,8.0,,3,,
350,R1531T,9.0,,3,,
351,R1531T,1.0,,4,,
352,R1531T,2.0,,4,,
353,R1531T,3.0,,4,,
354,R1531T,4.0,,4,,
355,R1531T,5.0,,4,,
356,R1531T,6.0,,4,,
357,R1531T,7.0,,4,,
358,R1531T,8.0,,4,,
359,R1531T,9.0,,4,,
360,R1531T,1.0,,5,,
361,R1531T,2.0,,5,,
362,R1531T,3.0,,5,,
363,R1531T,4.0,,5,,
364,R1531T,5.0,,5,,
365,R1531T,6.0,,5,,
366,R1531T,7.0,,5,,
367,R1531T,8.0,,5,,
368,R1531T,9.0,,5,,
369,R1531T,1.0,,6,,
370,R1531T,2.0,,6,,
371,R1531T,3.0,,6,,
372,R1531T,4.0,,6,,
373,R1531T,5.0,,6,,
374,R1531T,6.0,,6,,
375,R1531T,7.0,,6,,
376,R1531T,8.0,,6,,
377,R1531T,9.0,,6,,
378,R1534D,1.0,1.0,0,0.05555555555555555,0.20296296296296293
379,R1534D,2.0,1.0,0,0.4375,0.1069074074074074
380,R1534D,3.0,1.0,0,0.0,0.057111111111111106
381,R1534D,4.0,1.0,0,0.041666666666666664,0.08958796296296295
382,R1534D,5.0,1.0,0,0.0,0.08271296296296296
383,R1534D,6.0,1.0,0,0.0,0.11424537037037037
384,R1534D,7.0,1.0,0,0.0,0.14794444444444443
385,R1534D,8.0,1.0,0,0.8333333333333333,0.24629398148148152
386,R1534D,9.0,1.0,0,0.0,0.47605753968253967
387,R1534D,1.0,,1,,
388,R1534D,2.0,,1,,
389,R1534D,3.0,,1,,
390,R1534D,4.0,,1,,
391,R1534D,5.0,,1,,
392,R1534D,6.0,,1,,
393,R1534D,7.0,,1,,
394,R1534D,8.0,,1,,
395,R1534D,9.0,,1,,
396,R1534D,1.0,,2,,
397,R1534D,2.0,,2,,
398,R1534D,3.0,,2,,
399,R1534D,4.0,,2,,
400,R1534D,5.0,,2,,
401,R1534D,6.0,,2,,
402,R1534D,7.0,,2,,
403,R1534D,8.0,,2,,
404,R1534D,9.0,,2,,
405,R1534D,1.0,,3,,
406,R1534D,2.0,,3,,
407,R1534D,3.0,,3,,
408,R1534D,4.0,,3,,
409,R1534D,5.0,,3,,
410,R1534D,6.0,,3,,
411,R1534D,7.0,,3,,
412,R1534D,8.0,,3,,
413,R1534D,9.0,,3,,
414,R1534D,1.0,,4,,
415,R1534D,2.0,,4,,
416,R1534D,3.0,,4,,
417,R1534D,4.0,,4,,
418,R1534D,5.0,,4,,
419,R1534D,6.0,,4,,
420,R1534D,7.0,,4,,
421,R1534D,8.0,,4,,
422,R1534D,9.0,,4,,
423,R1534D,1.0,,5,,
424,R1534D,2.0,,5,,
425,R1534D,3.0,,5,,
426,R1534D,4.0,,5,,
427,R1534D,5.0,,5,,
428,R1534D,6.0,,5,,
429,R1534D,7.0,,5,,
430,R1534D,8.0,,5,,
431,R1534D,9.0,,5,,
432,R1534D,1.0,,6,,
433,R1534D,2.0,,6,,
434,R1534D,3.0,,6,,
435,R1534D,4.0,,6,,
436,R1534D,5.0,,6,,
437,R1534D,6.0,,6,,
438,R1534D,7.0,,6,,
439,R1534D,8.0,,6,,
440,R1534D,9.0,,6,,
441,R1547D,1.0,1.0,0,0.5,0.2029629629629629
442,R1547D,2.0,1.0,0,0.25,0.1069074074074074
443,R1547D,3.0,1.0,0,0.0,0.057111111111111106
444,R1547D,4.0,1.0,0,0.0,0.08958796296296295
445,R1547D,5.0,1.0,0,0.0,0.08271296296296296
446,R1547D,6.0,1.0,0,0.08333333333333333,0.11424537037037037
447,R1547D,7.0,1.0,0,0.5,0.14794444444444443
448,R1547D,8.0,1.0,0,0.175,0.2462939814814815
449,R1547D,9.0,1.0,0,0.25,0.47605753968253967
450,R1547D,1.0,,1,,
451,R1547D,2.0,,1,,
452,R1547D,3.0,,1,,
453,R1547D,4.0,,1,,
454,R1547D,5.0,,1,,
455,R1547D,6.0,,1,,
